Processes	ExecTime	Speedup	Efficiency
1	4779.0433168411255	1.0	1.0	
2	3284.5024585723877	1.4550280832849007	0.7275140416424504	
3	2748.184871673584	1.7389817424949268	0.5796605808316423	
4	2578.3509254455566	1.8535271012479708	0.4633817753119927	
5	2591.4676904678345	1.8441454371280896	0.36882908742561793	
6	2596.392560005188	1.8406474392422294	0.3067745732070382	
7	2613.6175394058228	1.8285166994737831	0.2612166713533976	
8	2651.49245262146	1.802397480753231	0.22529968509415388	
9	2706.4039945602417	1.765827764977735	0.19620308499752612	
10	2868.2308197021484	1.6661989976585656	0.16661989976585656	
